,n,token,lemma,pos
5475,39,καταλευσθῆναι,καταλεύω,v--anp---
5476,40,πράως,πρᾶος,d--------
5477,41,λέγοι,λέγω,v3spoa---
5478,42,τὸ,ὁ,l-s---na-
5479,43,αὑτοῦ,ἑαυτοῦ,a-s---mg-
5480,44,πάθος,πάθος,n-s---na-
5481,45,",",",",u--------
5482,46,ἐκέλευσέ,κελεύω,v3saia---
5483,47,τε,τε,d--------
5484,48,αὐτὸν,αὐτός,p-s---ma-
5485,49,ἐκ,ἐκ,r--------
5486,50,τοῦ,ὁ,l-s---mg-
5487,51,μέσου,μέσης,n-s---mg-
5488,52,ἐξίστασθαι,ἐξίστημι,v--pne---
5489,53,.,.,u--------
5490,1,ἐν,ἐν,r--------
5491,2,τούτῳ,οὗτος,a-s---md-
5492,3,δʼ,δέ,g--------
5493,4,ἐπῄει,ἔπειμι2,v3siia---
5494,5,καὶ,καί,d--------
5495,6,Κῦρος,Κῦρος,n-s---mn-
5496,7,καὶ,καί,d--------
5497,8,ἐπύθετο,πύθω,v3siie---
5498,9,τὸ,ὁ,l-s---na-
5499,10,πρᾶγμα,πρᾶγμα,n-s---na-
5500,11,·,·,u--------
5501,12,εὐθὺς,εὐθύς,d--------
5502,13,δʼ,δέ,g--------
5503,14,ἔλαβε,λαμβάνω,v3saia---
5504,15,τὰ,ὁ,l-p---na-
5505,16,παλτὰ,παλτός,a-p---na-
5506,17,εἰς,εἰς,r--------
5507,18,τὰς,ὁ,l-p---fa-
5508,19,χεῖρας,χείρ,n-p---fa-
5509,20,καὶ,καί,c--------
5510,21,σὺν,σύν,r--------
5511,22,τοῖς,ὁ,l-p---nd-
5512,23,παροῦσι,πάρειμι,v-pppand-
5513,24,τῶν,ὁ,l-p---mg-
5514,25,πιστῶν,πιστός2,a-p---mg-
5515,26,ἧκεν,ἵημι,v3saia---
5516,27,ἐλαύνων,ἐλαύνω,v-sppamn-
5517,28,εἰς,εἰς,r--------
5518,29,τὸ,ὁ,l-s---na-
5519,30,μέσον,μέσος,a-s---na-
5520,31,",",",",u--------
5521,32,καὶ,καί,c--------
5522,33,λέγει,λέγω,v3spia---
5523,34,τάδε,ὅδε,p-p---na-
5524,35,.,.,u--------
5525,1,Κλέαρχε,,v2spma---
5526,2,καὶ,καί,d--------
5527,3,Πρόξενε,,v2spma---
5528,4,καὶ,καί,d--------
5529,5,οἱ,ὁ,l-p---mn-
5530,6,ἄλλοι,ἄλλος,a-p---mn-
5531,7,οἱ,ὁ,l-p---mn-
5532,8,παρόντες,πάρειμι,v-pppamn-
5533,9,Ἕλληνες,Ἕλλην,n-p---mn-
5534,10,",",",",u--------
5535,11,οὐκ,οὐ,d--------
5536,12,ἴστε,οἶδα,v2pria---
5537,13,ὅ,,c--------
5538,14,τι,τις,p-s---na-
5539,15,ποιεῖτε,ποιέω,v2ppia---
5540,16,.,.,u--------
5541,17,εἰ,εἰ,c--------
5542,18,γάρ,γάρ,g--------
5543,19,τινα,,a-s---ma-
5544,20,ἀλλήλοις,ἀλλήλων,p-p---md-
5545,21,μάχην,μάχη,n-s---fa-
5546,22,συνάψετε,,v2ppma---
5547,23,",",",",u--------
5548,24,νομίζετε,νομίζω,v2ppia---
5549,25,ἐν,ἐν,r--------
5550,26,τῇδε,,a-s---fd-
5551,27,τῇ,ὁ,l-s---fd-
5552,28,ἡμέρᾳ,ἡμέρα,n-s---fd-
5553,29,ἐμέ,ἐγώ,p1s---ma-
5554,30,τε,τε,d--------
5555,31,κατακεκόψεσθαι,,v--pne---
5556,32,καὶ,καί,d--------
5557,33,ὑμᾶς,,p-p---ma-
5558,34,οὐ,οὐ,d--------
5559,35,πολὺ,πολύς,a-s---na-
5560,36,ἐμοῦ,ἐμός,p-s---mg-
5561,37,ὕστερον,ὕστερον,n-s---na-
5562,38,·,·,u--------
5563,39,κακῶς,κακός,d--------
5564,40,γὰρ,γάρ,g--------
5565,41,τῶν,ὁ,l-p---fg-
5566,42,ἡμετέρων,,n-p---fg-
5567,43,ἐχόντων,ἔχω,v-pppamg-
5568,44,πάντες,πᾶς,a-p---mn-
5569,45,οὗτοι,οὗτος,p-p---mn-
5570,46,οὓς,ὅς2,p-p---ma-
5571,47,ὁρᾶτε,ὁράω,v2ppma---
5572,48,βάρβαροι,βάρβαρος,a-p---fn-
5573,49,πολεμιώτεροι,πολέμιος,a-p---mnc
5574,50,ἡμῖν,,p-p---md-
5575,51,ἔσονται,εἰμί,v3pfim---
5576,52,τῶν,ὁ,l-p---mg-
5577,53,παρὰ,παρά,r--------
5578,54,βασιλεῖ,βασιλεύς,n-s---md-
5579,55,ὄντων,εἰμί,v-pppamg-
5580,56,.,.,u--------
5581,1,ἀκούσας,,v-sppamn-
5582,2,ταῦτα,οὗτος,p-p---na-
5583,3,ὁ,ὁ,l-s---mn-
5584,4,Κλέαρχος,Κλέαρχος,n-s---mn-
5585,5,ἐν,ἐν,r--------
5586,6,ἑαυτῷ,ἑαυτοῦ,a-s---md-
5587,7,ἐγένετο,γίγνομαι,v3saim---
5588,8,·,·,u--------
5589,9,καὶ,καί,d--------
5590,10,παυσάμενοι,παύω,v-papmmn-
5591,11,ἀμφότεροι,ἀμφότερος,a-p---mn-
5592,12,κατὰ,κατά,r--------
5593,13,χώραν,χώρα,n-s---fa-
5594,14,ἔθεντο,τίθημι,v3paim---
5595,15,τὰ,ὁ,l-p---na-
5596,16,ὅπλα,ὅπλον,n-p---na-
5597,17,.,.,u--------
5598,1,ἐντεῦθεν,ἐντεῦθεν,d--------
5599,2,προϊόντων,πρόειμι,v-pppamg-
5600,3,ἐφαίνετο,φαίνω,v3siie---
5601,4,ἴχνια,ἴχνιον,n-p---na-
5602,5,ἵππων,ἵππος,n-p---mg-
5603,6,καὶ,καί,c--------
5604,7,κόπρος,,n-s---fg-
5605,8,·,·,u--------
5606,9,εἰκάζετο,εἰκάζω,v3siie---
5607,10,δʼ,δέ,g--------
5608,11,εἶναι,εἰμί,v--pna---
5609,12,ὁ,ὁ,l-s---mn-
5610,13,στίβος,στίβος,n-s---mn-
5611,14,ὡς,ὡς,c--------
5612,15,δισχιλίων,δισχίλιοι,a-p---mg-
5613,16,ἵππων,ἵππος,n-p---mg-
5614,17,.,.,u--------
5615,18,οὗτοι,οὗτος,p-p---mn-
5616,19,προϊόντες,πρόειμι,v-pppamn-
5617,20,ἔκαιον,καίω,v3piia---
5618,21,καὶ,καί,d--------
5619,22,χιλὸν,χιλός,n-s---ma-
5620,23,καὶ,καί,d--------
5621,24,εἴ,εἰ,c--------
5622,25,τι,τις,p-s---na-
5623,26,ἄλλο,ἄλλος,a-s---na-
5624,27,χρήσιμον,χρήσιμος,a-s---nn-
5625,28,ἦν,εἰμί,v3siia---
5626,29,.,.,u--------
5627,30,Ὀρόντας,Ὀρόντης,n-p---ma-
5628,31,δέ,δέ,g--------
5629,32,",",",",u--------
5630,33,Πέρσης,,n-s---mv-
5631,34,ἀνήρ,ἀνήρ,n-s---mn-
5632,35,",",",",u--------
5633,36,γένει,γένος,n-s---nd-
5634,37,τε,τε,g--------
5635,38,προσήκων,,a-p---mg-
5636,39,βασιλεῖ,βασιλεύς,n-s---md-
5637,40,καὶ,καί,d--------
5638,41,τὰ,ὁ,l-p---na-
5639,42,πολέμια,πολέμιος,a-p---na-
5640,43,λεγόμενος,λέγω,v-sppemn-
5641,44,ἐν,ἐν,r--------
5642,45,τοῖς,ὁ,l-p---md-
5643,46,ἀρίστοις,ἄριστος,a-p---md-
5644,47,Περσῶν,Πέρσης,n-p---mg-
5645,48,ἐπιβουλεύει,ἐπιβουλεύω,v3spia---
5646,49,Κύρῳ,Κῦρος,n-s---md-
5647,50,καὶ,καί,d--------
5648,51,πρόσθεν,πρόσθεν,d--------
5649,52,πολεμήσας,πολεμέω,v-sapamn-
5650,53,",",",",u--------
5651,54,καταλλαγεὶς,καταλλάσσω,v-sappmn-
5652,55,δέ,δέ,g--------
5653,56,.,.,u--------
5654,1,οὗτος,οὗτος,a-s---mn-
5655,2,Κύρῳ,Κῦρος,n-s---md-
5656,3,εἶπεν,λέγω,v3saia---
5657,4,",",",",u--------
5658,5,εἰ,εἰ,c--------
5659,6,αὐτῷ,αὐτός,p-s---md-
5660,7,δοίη,δίδωμι,v3saoa---
5661,8,ἱππέας,ἱππεύς,n-p---ma-
5662,9,χιλίους,χίλιος,a-p---ma-
5663,10,",",",",u--------
5664,11,ὅτι,ὅτι2,c--------
5665,12,τοὺς,ὁ,l-p---ma-
5666,13,προκατακαίοντας,προκατακαίω,v-pppama-
5667,14,ἱππέας,ἱππεύς,n-p---ma-
5668,15,ἢ,ἤ,c--------
5669,16,κατακαίνοι,κατακαίνω,v3spoa---
5670,17,ἂν,ἄν,g--------
5671,18,ἐνεδρεύσας,ἐνεδρεύω,v-sapamn-
5672,19,ἢ,ἤ,c--------
5673,20,ζῶντας,ζήω,v-pppama-
5674,21,πολλοὺς,πολύς,a-p---ma-
5675,22,αὐτῶν,αὐτός,p-p---mg-
5676,23,ἂν,ἄν,g--------
5677,24,ἕλοι,αἱρέω,v3saoa---
5678,25,καὶ,καί,d--------
5679,26,κωλύσειε,κωλύω,v3saoa---
5680,27,τοῦ,ὁ,l-s---ng-
5681,28,καίειν,καίω,v--pna---
5682,29,ἐπιόντας,ἔπειμι2,v-pppama-
5683,30,",",",",u--------
5684,31,καὶ,καί,c--------
5685,32,ποιήσειεν,ποιέω,v3saoa---
5686,33,ὥστε,ὥστε,c--------
5687,34,μήποτε,μήποτε,d--------
5688,35,δύνασθαι,δύναμαι,v--pne---
5689,36,αὐτοὺς,αὐτός,p-p---ma-
5690,37,ἰδόντας,ὁράω,v-papama-
5691,38,τὸ,ὁ,l-s---nn-
5692,39,Κύρου,Κῦρος,n-s---mg-
5693,40,στράτευμα,στράτευμα,n-s---nn-
5694,41,βασιλεῖ,βασιλεύς,n-s---md-
5695,42,διαγγεῖλαι,διαγγέλλω,v--ana---
5696,43,.,.,u--------
5697,44,τῷ,τῷ,d--------
5698,45,δὲ,δέ,g--------
5699,46,Κύρῳ,Κῦρος,n-s---md-
5700,47,ἀκούσαντι,ἀκούω,v-sapamd-
5701,48,ταῦτα,οὗτος,p-p---na-
5702,49,ἐδόκει,δοκέω,v3siia---
5703,50,ὠφέλιμα,ὠφέλιμος,a-p---na-
5704,51,εἶναι,εἰμί,v--pna---
5705,52,",",",",u--------
5706,53,καὶ,καί,d--------
5707,54,ἐκέλευεν,κελεύω,v3siia---
5708,55,αὐτὸν,αὐτός,p-s---ma-
5709,56,λαμβάνειν,λαμβάνω,v--pna---
5710,57,μέρος,μέρος,n-s---na-
5711,58,παρʼ,παρά,r--------
5712,59,ἑκάστου,ἕκαστος,a-s---mg-
5713,60,τῶν,ὁ,l-p---mg-
5714,61,ἡγεμόνων,ἡγεμών,n-p---mg-
5715,62,.,.,u--------
5716,1,ὁ,ὁ,l-s---mn-
5717,2,δʼ,δέ,g--------
5718,3,Ὀρόντας,Ὀρόντης,n-p---ma-
5719,4,νομίσας,νομίζω,v-sapamn-
5720,5,ἑτοίμους,ἑτοῖμος,a-p---ma-
5721,6,εἶναι,εἰμί,v--pna---
5722,7,αὑτῷ,ἑαυτοῦ,p-s---md-
5723,8,τοὺς,ὁ,l-p---ma-
5724,9,ἱππέας,ἱππεύς,n-p---ma-
5725,10,γράφει,γράφω,v3spia---
5726,11,ἐπιστολὴν,ἐπιστολή,n-s---fa-
5727,12,παρὰ,παρά,r--------
5728,13,βασιλέα,βασιλεύς,n-s---ma-
5729,14,ὅτι,ὅτι2,c--------
5730,15,ἥξοι,,v3spoa---
5731,16,ἔχων,ἔχω,v-sppamn-
5732,17,ἱππέας,ἱππεύς,n-p---ma-
5733,18,ὡς,ὡς,c--------
5734,19,ἂν,ἄν,g--------
5735,20,δύνηται,,v3srie---
5736,21,πλείστους,πλεῖστος,a-p---ma-
5737,22,·,·,u--------
5738,23,ἀλλὰ,ἀλλά,c--------
5739,24,φράσαι,φράζω,v--ana---
5740,25,τοῖς,ὁ,l-p---md-
5741,26,αὑτοῦ,ἑαυτοῦ,p-s---mg-
5742,27,ἱππεῦσιν,ἱππεύς,n-p---md-
5743,28,ἐκέλευεν,κελεύω,v3siia---
5744,29,ὡς,ὡς,c--------
5745,30,φίλιον,,n-s---ma-
5746,31,αὐτὸν,αὐτός,p-s---ma-
5747,32,ὑποδέχεσθαι,ὑποδέχομαι,v--pne---
5748,33,.,.,u--------
5749,34,ἐνῆν,ἔνειμι,v1siia---
5750,35,δὲ,δέ,g--------
5751,36,ἐν,ἐν,r--------
5752,37,τῇ,ὅς,d--------
5753,38,ἐπιστολῇ,ἐπιστολή,n-s---fd-
5754,39,καὶ,καί,d--------
5755,40,τῆς,ὁ,l-s---fg-
5756,41,πρόσθεν,πρόσθεν,d--------
5757,42,φιλίας,φιλία,n-s---fg-
5758,43,ὑπομνήματα,ὑπόμνημα,n-p---na-
5759,44,καὶ,καί,c--------
5760,45,πίστεως,πίστις,n-s---fg-
5761,46,.,.,u--------
5762,47,ταύτην,οὗτος,a-s---fa-
5763,48,τὴν,ὁ,l-s---fa-
5764,49,ἐπιστολὴν,ἐπιστολή,n-s---fa-
5765,50,δίδωσι,δίδωμι,v3spia---
5766,51,πιστῷ,πιστός2,a-s---md-
5767,52,ἀνδρί,ἀνήρ,n-s---md-
5768,53,",",",",u--------
5769,54,ὡς,ὡς,c--------
5770,55,ᾤετο,οἴομαι,v3siie---
5771,56,·,·,u--------
5772,57,ὁ,ὁ,l-s---mn-
5773,58,δὲ,δέ,g--------
5774,59,λαβὼν,λαμβάνω,v-sapamn-
5775,60,Κύρῳ,Κῦρος,n-s---md-
5776,61,δίδωσιν,δίδωμι,v3spia---
5777,62,.,.,u--------
5778,1,ἀναγνοὺς,ἀναγιγνώσκω,v-sapamn-
5779,2,δὲ,δέ,g--------
5780,3,αὐτὴν,αὐτός,p-s---fa-
5781,4,ὁ,ὁ,l-s---mn-
5782,5,Κῦρος,Κῦρος,n-s---mn-
5783,6,συλλαμβάνει,συλλαμβάνω,v3spia---
5784,7,Ὀρόνταν,,n-s---fa-
5785,8,",",",",u--------
5786,9,καὶ,καί,c--------
5787,10,συγκαλεῖ,συγκαλέω,v3spia---
5788,11,εἰς,εἰς,r--------
5789,12,τὴν,ὁ,l-s---fa-
5790,13,ἑαυτοῦ,ἑαυτοῦ,p-s---mg-
5791,14,σκηνὴν,σκηνή,n-s---fa-
5792,15,Πέρσας,Πέρσης,n-p---ma-
5793,16,τοὺς,ὁ,l-p---ma-
5794,17,ἀρίστους,ἄριστος,a-p---ma-
5795,18,τῶν,ὁ,l-p---mg-
5796,19,περὶ,περί,r--------
5797,20,αὐτὸν,αὐτός,p-s---ma-
5798,21,ἑπτά,,a--------
5799,22,",",",",u--------
5800,23,καὶ,καί,d--------
5801,24,τοὺς,ὁ,l-p---ma-
5802,25,τῶν,ὁ,l-p---mg-
5803,26,Ἑλλήνων,Ἕλλην,n-p---mg-
5804,27,στρατηγοὺς,στρατηγός,n-p---ma-
5805,28,ἐκέλευσεν,κελεύω,v3saia---
5806,29,ὁπλίτας,ὁπλίτης,n-p---ma-
5807,30,ἀγαγεῖν,ἄγω,v--ana---
5808,31,",",",",u--------
5809,32,τούτους,οὗτος,a-p---ma-
5810,33,δὲ,δέ,g--------
5811,34,θέσθαι,τίθημι,v--ane---
5812,35,τὰ,ὁ,l-p---na-
5813,36,ὅπλα,ὅπλον,n-p---na-
5814,37,περὶ,περί,r--------
5815,38,τὴν,ὁ,l-s---fa-
5816,39,αὑτοῦ,ἑαυτοῦ,a-s---mg-
5817,40,σκηνήν,σκηνή,n-s---fa-
5818,41,.,.,u--------
5819,42,οἱ,ὁ,p-p---mn-
5820,43,δὲ,δέ,g--------
5821,44,ταῦτα,οὗτος,p-p---na-
5822,45,ἐποίησαν,ποιέω,v3paia---
5823,46,",",",",u--------
5824,47,ἀγαγόντες,ἄγω,v-papamn-
5825,48,ὡς,ὡς,c--------
5826,49,τρισχιλίους,τρισχίλιοι,a-p---ma-
5827,50,ὁπλίτας,ὁπλίτης,n-p---ma-
5828,51,.,.,u--------
5829,1,Κλέαρχον,Κλέαρχος,n-s---ma-
5830,2,δὲ,δέ,g--------
5831,3,καὶ,καί,d--------
5832,4,εἴσω,,r--------
5833,5,παρεκάλεσε,παρακαλέω,v3saia---
5834,6,σύμβουλον,σύμβουλος,n-s---ma-
5835,7,",",",",u--------
5836,8,ὅς,ὅς,p-s---mn-
5837,9,γε,γε,g--------
5838,10,καὶ,καί,d--------
5839,11,αὐτῷ,αὐτός,p-s---md-
5840,12,καὶ,καί,d--------
5841,13,τοῖς,ὁ,l-p---md-
5842,14,ἄλλοις,ἄλλος,a-p---md-
5843,15,ἐδόκει,δοκέω,v3siia---
5844,16,προτιμηθῆναι,προτιμάω,v--anp---
5845,17,μάλιστα,μάλιστα,d--------
5846,18,τῶν,ὁ,l-p---mg-
5847,19,Ἑλλήνων,Ἕλλην,n-p---mg-
5848,20,.,.,u--------
5849,21,ἐπεὶ,ἐπεί,c--------
5850,22,δʼ,δέ,g--------
5851,23,ἐξῆλθεν,ἐξέρχομαι,v3saia---
5852,24,",",",",u--------
5853,25,ἀπήγγειλε,ἀπαγγέλλω,v3saia---
5854,26,τοῖς,ὁ,l-p---md-
5855,27,φίλοις,φίλος,a-p---md-
5856,28,τὴν,ὁ,l-s---fa-
5857,29,κρίσιν,κρίσις,n-s---fa-
5858,30,τοῦ,ὅς,p-s---mg-
5859,31,Ὀρόντα,,n-s---ma-
5860,32,ὡς,ὡς,c--------
5861,33,ἐγένετο,γίγνομαι,v3saim---
5862,34,·,·,u--------
5863,35,οὐ,οὐ,d--------
5864,36,γὰρ,γάρ,g--------
5865,37,ἀπόρρητον,ἀπόρρητος,a-s---nn-
5866,38,ἦν,εἰμί,v3siia---
5867,39,.,.,u--------
5868,1,ἔφη,φημί,v3siia---
5869,2,δὲ,δέ,g--------
5870,3,Κῦρον,Κῦρος,n-s---ma-
5871,4,ἄρχειν,ἄρχω,v--pna---
5872,5,τοῦ,ὁ,l-s---mg-
5873,6,λόγου,λόγος,n-s---mg-
5874,7,ὧδε,ὧδε,d--------
5875,8,.,.,u--------
5876,9,παρεκάλεσα,παρακαλέω,v1saia---
5877,10,ὑμᾶς,,p-p---ma-
5878,11,",",",",u--------
5879,12,ἄνδρες,ἀνήρ,n-p---mv-
5880,13,φίλοι,φίλος,a-p---mv-
5881,14,",",",",u--------
5882,15,ὅπως,ὅπως,c--------
5883,16,σὺν,σύν,r--------
5884,17,ὑμῖν,σύ,p-p----d-
5885,18,βουλευόμενος,βουλεύω,v-sppemn-
5886,19,ὅ,ὅς,p-s---na-
5887,20,τι,τις,p-s---na-
5888,21,δίκαιόν,δίκαιος,a-s---na-
5889,22,ἐστι,εἰμί,v3spia---
5890,23,καὶ,καί,d--------
5891,24,πρὸς,πρός,r--------
5892,25,θεῶν,θεός,n-p---mg-
5893,26,καὶ,καί,d--------
5894,27,πρὸς,πρός,r--------
5895,28,ἀνθρώπων,ἄνθρωπος,n-p---mg-
5896,29,",",",",u--------
5897,30,τοῦτο,οὗτος,p-s---na-
5898,31,πράξω,πράσσω,v1sfia---
5899,32,περὶ,περί,r--------
5900,33,Ὀρόντα,,n-s---ma-
5901,34,τουτουί,,a-s---ma-
5902,35,.,.,u--------
5903,36,τοῦτον,οὗτος,p-s---ma-
5904,37,γὰρ,γάρ,g--------
5905,38,πρῶτον,πρῶτος,a-s---na-
5906,39,μὲν,μέν,g--------
5907,40,ὁ,ὁ,l-s---mn-
5908,41,ἐμὸς,,a-s---mn-
5909,42,πατὴρ,πατήρ,n-s---mn-
5910,43,ἔδωκεν,δίδωμι,v3saia---
5911,44,ὑπήκοον,ὑπήκοος,a-s---na-
5912,45,εἶναι,εἰμί,v--pna---
5913,46,ἐμοί,,p-s---md-
5914,47,·,·,u--------
5915,48,ἐπεὶ,ἐπεί,c--------
5916,49,δὲ,δέ,g--------
5917,50,ταχθείς,τάσσω,v-sappmn-
5918,51,",",",",u--------
5919,52,ὡς,ὡς,d--------
5920,53,ἔφη,φημί,v3siia---
5921,54,αὐτός,αὐτός,a-s---mn-
5922,55,",",",",u--------
5923,56,ὑπὸ,ὑπό,r--------
5924,57,τοῦ,ὁ,l-s---mg-
5925,58,ἐμοῦ,ἐμός,a-s---mg-
5926,59,ἀδελφοῦ,ἀδελφός,n-s---mg-
5927,60,οὗτος,οὗτος,p-s---mn-
5928,61,ἐπολέμησεν,πολεμέω,v3saia---
5929,62,ἐμοὶ,,p-s---md-
5930,63,ἔχων,ἔχω,v-sppamn-
5931,64,τὴν,ὁ,l-s---fa-
5932,65,ἐν,ἐν,r--------
5933,66,Σάρδεσιν,Σάρδεις,n-p---fd-
5934,67,ἀκρόπολιν,ἀκρόπολις,n-s---fa-
5935,68,",",",",u--------
5936,69,καὶ,καί,d--------
5937,70,ἐγὼ,,p-s---mn-
5938,71,αὐτὸν,αὐτός,p-s---ma-
5939,72,προσπολεμῶν,,n-p---mg-
5940,73,ἐποίησα,ποιέω,v1saia---
5941,74,ὥστε,ὥστε,c--------
5942,75,δόξαι,δοκέω,v--ana---
5943,76,τούτῳ,οὗτος,p-s---md-
5944,77,τοῦ,ὁ,l-s---mg-
5945,78,πρὸς,πρός,r--------
5946,79,ἐμὲ,,p-s---ma-
5947,80,πολέμου,πόλεμος,n-s---mg-
5948,81,παύσασθαι,παύω,v--anm---
5949,82,",",",",u--------
5950,83,καὶ,καί,d--------
5951,84,δεξιὰν,δεξιός,a-s---fa-
5952,85,ἔλαβον,λαμβάνω,v3paia---
5953,86,καὶ,καί,c--------
5954,87,ἔδωκα,δίδωμι,v1saia---
5955,88,",",",",u--------
5956,89,μετὰ,μετά,r--------
5957,90,ταῦτα,οὗτος,p-p---na-
5958,91,",",",",u--------
5959,92,ἔφη,φημί,v3siia---
5960,93,",",",",u--------
5961,94,Ὀρόντα,,n-s---ma-
5962,95,",",",",u--------
5963,96,ἔστιν,εἰμί,v3spia---
5964,97,ὅ,ὅς,p-s---na-
5965,98,τι,,a-s---na-
5966,99,σε,,p-s---ma-
5967,100,ἠδίκησα,ἀδικέω,v1saia---
5968,101,;,;,u--------
5969,1,ἀπεκρίνατο,ἀποκρίνω,v3saim---
5970,2,ὅτι,ὅτι2,c--------
5971,3,οὔ,οὐ,d--------
5972,4,.,.,u--------
5973,5,πάλιν,πάλιν,d--------
5974,6,δὲ,δέ,g--------
5975,7,ὁ,ὁ,l-s---mn-
5976,8,Κῦρος,Κῦρος,n-s---mn-
5977,9,ἠρώτα,ἐρωτάω,v3siia---
5978,10,·,·,u--------
5979,11,οὐκοῦν,οὔκουν,d--------
5980,12,ὕστερον,ὕστερον,n-s---na-
5981,13,",",",",u--------
5982,14,ὡς,ὡς,c--------
5983,15,αὐτὸς,αὐτός,a-s---mn-
5984,16,σὺ,,p-s---mn-
5985,17,ὁμολογεῖς,ὁμολογέω,v2spia---
5986,18,",",",",u--------
5987,19,οὐδὲν,,p-s---na-
5988,20,ὑπʼ,ὑπό,r--------
5989,21,ἐμοῦ,ἐμός,a-s---mg-
5990,22,ἀδικούμενος,ἀδικέω,v-sppemn-
5991,23,ἀποστὰς,ἀφίστημι,v-sapamn-
5992,24,εἰς,εἰς,r--------
5993,25,Μυσοὺς,Μυσός,n-p---ma-
5994,26,κακῶς,κακός,d--------
5995,27,ἐποίεις,,v2spia---
5996,28,τὴν,ὁ,l-s---fa-
5997,29,ἐμὴν,,a-s---fa-
5998,30,χώραν,χώρα,n-s---fa-
5999,31,ὅ,ὅς,p-s---na-
6000,32,τι,,a-s---na-
6001,33,ἐδύνω,,v1spsa---
6002,34,;,;,u--------
6003,35,ἔφη,φημί,v3siia---
6004,36,Ὀρόντας,Ὀρόντης,n-p---ma-
6005,37,.,.,u--------
6006,38,οὐκοῦν,οὔκουν,d--------
6007,39,",",",",u--------
6008,40,ἔφη,φημί,v3siia---
6009,41,ὁ,ὁ,l-s---mn-
6010,42,Κῦρος,Κῦρος,n-s---mn-
6011,43,",",",",u--------
6012,44,ὁπότʼ,,c--------
6013,45,αὖ,αὖ,d--------
6014,46,ἔγνως,γιγνώσκω,v2saia---
6015,47,τὴν,ὁ,l-s---fa-
6016,48,σαυτοῦ,σεαυτοῦ,p-s---mg-
6017,49,δύναμιν,δύναμις,n-s---fa-
6018,50,",",",",u--------
6019,51,ἐλθὼν,ἔρχομαι,v-sapamn-
6020,52,ἐπὶ,ἐπί,r--------
6021,53,τὸν,ὁ,l-s---ma-
6022,54,τῆς,ὁ,l-s---fg-
6023,55,Ἀρτέμιδος,Ἄρτεμις,n-s---fg-
6024,56,βωμὸν,βωμός,n-s---ma-
6025,57,μεταμέλειν,μεταμέλομαι,v--pna---
6026,58,τέ,,d--------
6027,59,σοι,,p-s---md-
6028,60,ἔφησθα,φημί,v2siia---
6029,61,καὶ,καί,d--------
6030,62,πείσας,πείθω,v-sapamn-
6031,63,ἐμὲ,,p-s---ma-
6032,64,πιστὰ,πιστός2,a-p---na-
6033,65,πάλιν,πάλιν,d--------
6034,66,ἔδωκάς,δίδωμι,v2saia---
6035,67,μοι,,p-s---md-
6036,68,καὶ,καί,d--------
6037,69,ἔλαβες,λαμβάνω,v2saia---
6038,70,παρʼ,,v2spie---
6039,71,ἐμοῦ,,p-s---fg-
6040,72,;,;,u--------
6041,73,καὶ,καί,d--------
6042,74,ταῦθʼ,,v3sao----
6043,75,ὡμολόγει,ὁμολογέω,v3siia---
6044,76,Ὀρόντας,Ὀρόντης,n-p---ma-
6045,77,.,.,u--------
6046,1,τί,τι,d--------
6047,2,οὖν,οὖν,g--------
6048,3,",",",",u--------
6049,4,ἔφη,φημί,v3siia---
6050,5,ὁ,ὁ,l-s---mn-
6051,6,Κῦρος,Κῦρος,n-s---mn-
6052,7,",",",",u--------
6053,8,ἀδικηθεὶς,ἀδικέω,v-sappmn-
6054,9,ὑπʼ,ὑπό,r--------
6055,10,ἐμοῦ,,p-s---fg-
6056,11,νῦν,νῦν,d--------
6057,12,τὸ,ὁ,l-s---na-
6058,13,τρίτον,τρίτος,a-s---na-
6059,14,ἐπιβουλεύων,ἐπιβουλεύω,v-sppamn-
6060,15,μοι,,p-s---md-
6061,16,φανερὸς,φανερός,a-s---mn-
6062,17,γέγονας,,n-s---mn-
6063,18,;,;,u--------
6064,19,εἰπόντος,λέγω,v-sapamg-
6065,20,δὲ,δέ,g--------
6066,21,τοῦ,ὅς,p-s---mg-
6067,22,Ὀρόντα,,n-s---ma-
6068,23,ὅτι,ὅτι2,c--------
6069,24,οὐδὲν,,p-s---na-
6070,25,ἀδικηθείς,ἀδικέω,v-sappmn-
6071,26,",",",",u--------
6072,27,ἠρώτησεν,ἐρωτάω,v3saia---
6073,28,ὁ,ὁ,l-s---mn-
6074,29,Κῦρος,Κῦρος,n-s---mn-
6075,30,αὐτόν,αὐτός,a-s---ma-
6076,31,·,·,u--------
6077,32,ὁμολογεῖς,,a-p---mn-
6078,33,οὖν,οὖν,g--------
6079,34,περὶ,περί,r--------
6080,35,ἐμὲ,,p-s---ma-
6081,36,ἄδικος,ἄδικος,a-s---fn-
6082,37,γεγενῆσθαι,γίγνομαι,v--rne---
6083,38,;,;,u--------
6084,39,ἦ,ἦ,d--------
6085,40,γὰρ,γάρ,g--------
6086,41,ἀνάγκη,ἀνάγκη,n-s---fn-
6087,42,",",",",u--------
6088,43,ἔφη,φημί,v3siia---
6089,44,Ὀρόντας,Ὀρόντης,n-p---ma-
6090,45,.,.,u--------
6091,46,ἐκ,ἐκ,r--------
6092,47,τούτου,οὗτος,p-s---ng-
6093,48,πάλιν,πάλιν,d--------
6094,49,ἠρώτησεν,ἐρωτάω,v3saia---
